"","EVTYPE","yr","outcomes","totalamount"
"290","STORM",2007,"FATALITIES",63
"291","WINTER WEATHER",2007,"FATALITIES",9
"292","HIGH WINDS",2007,"FATALITIES",10
"293","DROUGHT",2007,"FATALITIES",0
"294","MARINE SQUALL",2007,"FATALITIES",52
"295","EXTREME TEMPERATURE",2007,"FATALITIES",71
"296","OTHER",2007,"FATALITIES",19
"297","FIRE",2007,"FATALITIES",17
"298","HURRICANE",2007,"FATALITIES",1
"299","STORM",2008,"FATALITIES",54
"300","DROUGHT",2008,"FATALITIES",1
"301","HIGH WINDS",2008,"FATALITIES",28
"302","HAIL",2008,"FATALITIES",2
"303","TORNADO",2008,"FATALITIES",129
"304","WINTER WEATHER",2008,"FATALITIES",17
"305","FLOOD",2008,"FATALITIES",74
"306","MARINE SQUALL",2008,"FATALITIES",59
"307","EXTREME TEMPERATURE",2008,"FATALITIES",81
"308","OTHER",2008,"FATALITIES",25
"309","FIRE",2008,"FATALITIES",3
"310","HURRICANE",2008,"FATALITIES",1
"311","FLOOD",2009,"FATALITIES",55
"312","HIGH WINDS",2009,"FATALITIES",14
"313","WINTER WEATHER",2009,"FATALITIES",19
"314","STORM",2009,"FATALITIES",63
"315","EXTREME TEMPERATURE",2009,"FATALITIES",61
"316","OTHER",2009,"FATALITIES",7
"317","HAIL",2009,"FATALITIES",0
"318","TORNADO",2009,"FATALITIES",21
"319","FIRE",2009,"FATALITIES",2
"320","MARINE SQUALL",2009,"FATALITIES",52
"321","DROUGHT",2009,"FATALITIES",0
"322","STORM",2010,"FATALITIES",44
"323","TORNADO",2010,"FATALITIES",45
"324","HAIL",2010,"FATALITIES",0
"325","FLOOD",2010,"FATALITIES",104
"326","WINTER WEATHER",2010,"FATALITIES",11
"327","EXTREME TEMPERATURE",2010,"FATALITIES",110
"328","HIGH WINDS",2010,"FATALITIES",15
"329","OTHER",2010,"FATALITIES",22
"330","MARINE SQUALL",2010,"FATALITIES",59
"331","FIRE",2010,"FATALITIES",2
"332","DROUGHT",2010,"FATALITIES",0
"333","FLOOD",2011,"FATALITIES",118
"334","HIGH WINDS",2011,"FATALITIES",14
"335","WINTER WEATHER",2011,"FATALITIES",4
"336","EXTREME TEMPERATURE",2011,"FATALITIES",122
"337","MARINE SQUALL",2011,"FATALITIES",35
"338","DROUGHT",2011,"FATALITIES",0
"339","OTHER",2011,"FATALITIES",11
"340","STORM",2011,"FATALITIES",84
"341","TORNADO",2011,"FATALITIES",587
"342","HAIL",2011,"FATALITIES",0
"343","FIRE",2011,"FATALITIES",6
"344","HURRICANE",2011,"FATALITIES",0
"345","TORNADO",1950,"INJURIES",659
"346","TORNADO",1951,"INJURIES",524
"347","TORNADO",1952,"INJURIES",1915
"348","TORNADO",1953,"INJURIES",5131
"349","TORNADO",1954,"INJURIES",715
"350","TORNADO",1955,"INJURIES",926
"351","STORM",1955,"INJURIES",0
"352","HAIL",1955,"INJURIES",0
"353","STORM",1956,"INJURIES",0
"354","HAIL",1956,"INJURIES",0
"355","TORNADO",1956,"INJURIES",1355
"356","TORNADO",1957,"INJURIES",1976
"357","HAIL",1957,"INJURIES",0
"358","STORM",1957,"INJURIES",0
"359","TORNADO",1958,"INJURIES",535
"360","STORM",1958,"INJURIES",0
"361","HAIL",1958,"INJURIES",0
"362","TORNADO",1959,"INJURIES",734
"363","STORM",1959,"INJURIES",0
"364","HAIL",1959,"INJURIES",0
"365","TORNADO",1960,"INJURIES",737
"366","STORM",1960,"INJURIES",0
"367","HAIL",1960,"INJURIES",0
"368","TORNADO",1961,"INJURIES",1087
"369","STORM",1961,"INJURIES",0
"370","HAIL",1961,"INJURIES",0
"371","TORNADO",1962,"INJURIES",551
"372","STORM",1962,"INJURIES",0
"373","HAIL",1962,"INJURIES",0
"374","STORM",1963,"INJURIES",0
"375","TORNADO",1963,"INJURIES",538
"376","HAIL",1963,"INJURIES",0
"377","TORNADO",1964,"INJURIES",1148
"378","STORM",1964,"INJURIES",0
"379","HAIL",1964,"INJURIES",0
"380","TORNADO",1965,"INJURIES",5197
"381","STORM",1965,"INJURIES",0
"382","HAIL",1965,"INJURIES",0
"383","STORM",1966,"INJURIES",0
"384","TORNADO",1966,"INJURIES",2030
"385","HAIL",1966,"INJURIES",0
"386","TORNADO",1967,"INJURIES",2144
"387","STORM",1967,"INJURIES",0
"388","HAIL",1967,"INJURIES",0
"389","TORNADO",1968,"INJURIES",2522
"390","STORM",1968,"INJURIES",0
"391","HAIL",1968,"INJURIES",0
"392","HAIL",1969,"INJURIES",0
"393","STORM",1969,"INJURIES",0
"394","TORNADO",1969,"INJURIES",1311
"395","STORM",1970,"INJURIES",0
"396","TORNADO",1970,"INJURIES",1355
"397","HAIL",1970,"INJURIES",0
"398","STORM",1971,"INJURIES",0
"399","TORNADO",1971,"INJURIES",2723
"400","HAIL",1971,"INJURIES",0
"401","TORNADO",1972,"INJURIES",976
"402","STORM",1972,"INJURIES",0
"403","HAIL",1972,"INJURIES",0
"404","STORM",1973,"INJURIES",0
"405","TORNADO",1973,"INJURIES",2406
"406","HAIL",1973,"INJURIES",0
"407","HAIL",1974,"INJURIES",0
"408","TORNADO",1974,"INJURIES",6824
"409","STORM",1974,"INJURIES",0
"410","HAIL",1975,"INJURIES",0
"411","STORM",1975,"INJURIES",0
"412","TORNADO",1975,"INJURIES",1457
"413","STORM",1976,"INJURIES",0
"414","TORNADO",1976,"INJURIES",1195
"415","HAIL",1976,"INJURIES",0
"416","STORM",1977,"INJURIES",0
"417","TORNADO",1977,"INJURIES",771
"418","HAIL",1977,"INJURIES",0
"419","STORM",1978,"INJURIES",0
"420","TORNADO",1978,"INJURIES",919
"421","HAIL",1978,"INJURIES",0
"422","STORM",1979,"INJURIES",0
"423","HAIL",1979,"INJURIES",0
"424","TORNADO",1979,"INJURIES",3014
"425","HAIL",1980,"INJURIES",0
"426","STORM",1980,"INJURIES",0
"427","TORNADO",1980,"INJURIES",1157
"428","STORM",1981,"INJURIES",0
"429","TORNADO",1981,"INJURIES",798
"430","HAIL",1981,"INJURIES",0
"431","TORNADO",1982,"INJURIES",1276
"432","HAIL",1982,"INJURIES",0
"433","STORM",1982,"INJURIES",0
"434","STORM",1983,"INJURIES",60
"435","TORNADO",1983,"INJURIES",756
"436","HAIL",1983,"INJURIES",0
