"","EVTYPE","yr","outcomes","totalamount"
"253","HAIL",2004,"PROPDMG",463019380
"254","EXTREME TEMPERATURE",2004,"PROPDMG",650000
"255","FLOOD",2004,"PROPDMG",1693243750
"256","HIGH WINDS",2004,"PROPDMG",3311783990
"257","WINTER WEATHER",2004,"PROPDMG",183535400
"258","DROUGHT",2004,"PROPDMG",8800
"259","TORNADO",2004,"PROPDMG",536587450
"260","OTHER",2004,"PROPDMG",34235000
"261","HURRICANE",2004,"PROPDMG",18271755000
"262","MARINE SQUALL",2004,"PROPDMG",46010000
"263","FIRE",2004,"PROPDMG",16932700
"264","EXTREME TEMPERATURE",2005,"PROPDMG",3100000
"265","TORNADO",2005,"PROPDMG",421833500
"266","STORM",2005,"PROPDMG",935472700
"267","HIGH WINDS",2005,"PROPDMG",58440050
"268","WINTER WEATHER",2005,"PROPDMG",293898000
"269","HAIL",2005,"PROPDMG",480469230
"270","FLOOD",2005,"PROPDMG",1517980290
"271","HURRICANE",2005,"PROPDMG",49774775000
"272","MARINE SQUALL",2005,"PROPDMG",43060790000
"273","FIRE",2005,"PROPDMG",38619500
"274","DROUGHT",2005,"PROPDMG",72444800
"275","OTHER",2005,"PROPDMG",92232000
"276","TORNADO",2006,"PROPDMG",752243000
"277","STORM",2006,"PROPDMG",525877270
"278","HAIL",2006,"PROPDMG",1300570000
"279","FLOOD",2006,"PROPDMG",118690377570
"280","EXTREME TEMPERATURE",2006,"PROPDMG",180000
"281","HIGH WINDS",2006,"PROPDMG",140500600
"282","WINTER WEATHER",2006,"PROPDMG",139752250
"283","DROUGHT",2006,"PROPDMG",122342000
"284","OTHER",2006,"PROPDMG",68688500
"285","FIRE",2006,"PROPDMG",179107000
"286","MARINE SQUALL",2006,"PROPDMG",1065000
"287","TORNADO",2007,"PROPDMG",1400721650
"288","HAIL",2007,"PROPDMG",375725250
"289","FLOOD",2007,"PROPDMG",1816877460
"290","STORM",2007,"PROPDMG",379678250
"291","WINTER WEATHER",2007,"PROPDMG",507816000
"292","HIGH WINDS",2007,"PROPDMG",201209320
"293","DROUGHT",2007,"PROPDMG",825000
"294","MARINE SQUALL",2007,"PROPDMG",11460000
"295","EXTREME TEMPERATURE",2007,"PROPDMG",94000
"296","OTHER",2007,"PROPDMG",51249000
"297","FIRE",2007,"PROPDMG",1004593700
"298","HURRICANE",2007,"PROPDMG",37700000
"299","STORM",2008,"PROPDMG",1336217490
"300","DROUGHT",2008,"PROPDMG",160530
"301","HIGH WINDS",2008,"PROPDMG",795436010
"302","HAIL",2008,"PROPDMG",427831300
"303","TORNADO",2008,"PROPDMG",1706256840
"304","WINTER WEATHER",2008,"PROPDMG",886170200
"305","FLOOD",2008,"PROPDMG",3160647310
"306","MARINE SQUALL",2008,"PROPDMG",4601409000
"307","EXTREME TEMPERATURE",2008,"PROPDMG",0
"308","OTHER",2008,"PROPDMG",5332000
"309","FIRE",2008,"PROPDMG",199938100
"310","HURRICANE",2008,"PROPDMG",2419380000
"311","FLOOD",2009,"PROPDMG",1101972130
"312","HIGH WINDS",2009,"PROPDMG",152996150
"313","WINTER WEATHER",2009,"PROPDMG",278700000
"314","STORM",2009,"PROPDMG",1448064600
"315","EXTREME TEMPERATURE",2009,"PROPDMG",1510000
"316","OTHER",2009,"PROPDMG",40833000
"317","HAIL",2009,"PROPDMG",1440000550
"318","TORNADO",2009,"PROPDMG",565799100
"319","FIRE",2009,"PROPDMG",92774600
"320","MARINE SQUALL",2009,"PROPDMG",16449000
"321","DROUGHT",2009,"PROPDMG",276500
"322","STORM",2010,"PROPDMG",304597100
"323","TORNADO",2010,"PROPDMG",1136920450
"324","HAIL",2010,"PROPDMG",3404109450
"325","FLOOD",2010,"PROPDMG",3935824440
"326","WINTER WEATHER",2010,"PROPDMG",106911900
"327","EXTREME TEMPERATURE",2010,"PROPDMG",1919000
"328","HIGH WINDS",2010,"PROPDMG",38589490
"329","OTHER",2010,"PROPDMG",18871800
"330","MARINE SQUALL",2010,"PROPDMG",49906500
"331","FIRE",2010,"PROPDMG",244888670
"332","DROUGHT",2010,"PROPDMG",61100
"333","FLOOD",2011,"PROPDMG",9134956150
"334","HIGH WINDS",2011,"PROPDMG",58225130
"335","WINTER WEATHER",2011,"PROPDMG",53149800
"336","EXTREME TEMPERATURE",2011,"PROPDMG",8248200
"337","MARINE SQUALL",2011,"PROPDMG",40917000
"338","DROUGHT",2011,"PROPDMG",147000
"339","OTHER",2011,"PROPDMG",74907000
"340","STORM",2011,"PROPDMG",577452720
"341","TORNADO",2011,"PROPDMG",9819560800
"342","HAIL",2011,"PROPDMG",451329550
"343","FIRE",2011,"PROPDMG",648318400
"344","HURRICANE",2011,"PROPDMG",10500000
"345","TORNADO",1950,"CROPDMG",0
"346","TORNADO",1951,"CROPDMG",0
"347","TORNADO",1952,"CROPDMG",0
"348","TORNADO",1953,"CROPDMG",0
"349","TORNADO",1954,"CROPDMG",0
"350","TORNADO",1955,"CROPDMG",0
"351","STORM",1955,"CROPDMG",0
"352","HAIL",1955,"CROPDMG",0
"353","STORM",1956,"CROPDMG",0
"354","HAIL",1956,"CROPDMG",0
"355","TORNADO",1956,"CROPDMG",0
"356","TORNADO",1957,"CROPDMG",0
"357","HAIL",1957,"CROPDMG",0
"358","STORM",1957,"CROPDMG",0
"359","TORNADO",1958,"CROPDMG",0
"360","STORM",1958,"CROPDMG",0
"361","HAIL",1958,"CROPDMG",0
"362","TORNADO",1959,"CROPDMG",0
"363","STORM",1959,"CROPDMG",0
"364","HAIL",1959,"CROPDMG",0
"365","TORNADO",1960,"CROPDMG",0
"366","STORM",1960,"CROPDMG",0
"367","HAIL",1960,"CROPDMG",0
"368","TORNADO",1961,"CROPDMG",0
"369","STORM",1961,"CROPDMG",0
"370","HAIL",1961,"CROPDMG",0
"371","TORNADO",1962,"CROPDMG",0
"372","STORM",1962,"CROPDMG",0
"373","HAIL",1962,"CROPDMG",0
"374","STORM",1963,"CROPDMG",0
"375","TORNADO",1963,"CROPDMG",0
"376","HAIL",1963,"CROPDMG",0
"377","TORNADO",1964,"CROPDMG",0
"378","STORM",1964,"CROPDMG",0
"379","HAIL",1964,"CROPDMG",0
"380","TORNADO",1965,"CROPDMG",0
"381","STORM",1965,"CROPDMG",0
"382","HAIL",1965,"CROPDMG",0
"383","STORM",1966,"CROPDMG",0
"384","TORNADO",1966,"CROPDMG",0
"385","HAIL",1966,"CROPDMG",0
"386","TORNADO",1967,"CROPDMG",0
"387","STORM",1967,"CROPDMG",0
"388","HAIL",1967,"CROPDMG",0
"389","TORNADO",1968,"CROPDMG",0
"390","STORM",1968,"CROPDMG",0
"391","HAIL",1968,"CROPDMG",0
"392","HAIL",1969,"CROPDMG",0
"393","STORM",1969,"CROPDMG",0
"394","TORNADO",1969,"CROPDMG",0
"395","STORM",1970,"CROPDMG",0
"396","TORNADO",1970,"CROPDMG",0
"397","HAIL",1970,"CROPDMG",0
"398","STORM",1971,"CROPDMG",0
"399","TORNADO",1971,"CROPDMG",0
"400","HAIL",1971,"CROPDMG",0
"401","TORNADO",1972,"CROPDMG",0
"402","STORM",1972,"CROPDMG",0
"403","HAIL",1972,"CROPDMG",0
"404","STORM",1973,"CROPDMG",0
"405","TORNADO",1973,"CROPDMG",0
"406","HAIL",1973,"CROPDMG",0
"407","HAIL",1974,"CROPDMG",0
"408","TORNADO",1974,"CROPDMG",0
"409","STORM",1974,"CROPDMG",0
"410","HAIL",1975,"CROPDMG",0
"411","STORM",1975,"CROPDMG",0
"412","TORNADO",1975,"CROPDMG",0
"413","STORM",1976,"CROPDMG",0
"414","TORNADO",1976,"CROPDMG",0
"415","HAIL",1976,"CROPDMG",0
"416","STORM",1977,"CROPDMG",0
"417","TORNADO",1977,"CROPDMG",0
"418","HAIL",1977,"CROPDMG",0
"419","STORM",1978,"CROPDMG",0
"420","TORNADO",1978,"CROPDMG",0
"421","HAIL",1978,"CROPDMG",0
"422","STORM",1979,"CROPDMG",0
"423","HAIL",1979,"CROPDMG",0
"424","TORNADO",1979,"CROPDMG",0
"425","HAIL",1980,"CROPDMG",0
"426","STORM",1980,"CROPDMG",0
"427","TORNADO",1980,"CROPDMG",0
"428","STORM",1981,"CROPDMG",0
"429","TORNADO",1981,"CROPDMG",0
"430","HAIL",1981,"CROPDMG",0
"431","TORNADO",1982,"CROPDMG",0
"432","HAIL",1982,"CROPDMG",0
"433","STORM",1982,"CROPDMG",0
